         833281 function calls in 0.662 seconds

   Ordered by: cumulative time
   List reduced from 34 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    43200    0.070    0.000    0.662    0.000 /mnt/data/wirtschaft/agents/household_agent.py:954(step)
    43200    0.086    0.000    0.375    0.000 /mnt/data/wirtschaft/agents/household_agent.py:877(handle_demographics)
    43200    0.040    0.000    0.177    0.000 /mnt/data/wirtschaft/agents/household_agent.py:939(handle_consumption)
    43200    0.120    0.000    0.147    0.000 /mnt/data/wirtschaft/agents/household_agent.py:807(_update_growth_state)
    43200    0.023    0.000    0.136    0.000 /mnt/data/wirtschaft/agents/household_agent.py:427(consume)
    43200    0.054    0.000    0.114    0.000 /mnt/data/wirtschaft/agents/household_agent.py:380(_record_consumption)
    43200    0.042    0.000    0.077    0.000 /mnt/data/wirtschaft/agents/household_agent.py:842(_decide_household_formation_event)
    43200    0.048    0.000    0.059    0.000 /mnt/data/wirtschaft/agents/household_agent.py:355(_push_consumption_history)
    43200    0.040    0.000    0.052    0.000 /mnt/data/wirtschaft/agents/household_agent.py:802(_advance_age)
    44640    0.022    0.000    0.037    0.000 /mnt/data/wirtschaft/agents/household_agent.py:909(handle_finances)
    43080    0.035    0.000    0.035    0.000 /mnt/data/wirtschaft/agents/household_agent.py:649(_fertility_probability_daily)
    89640    0.024    0.000    0.024    0.000 {built-in method builtins.max}
    43200    0.012    0.000    0.014    0.000 /mnt/data/wirtschaft/agents/household_agent.py:829(_update_growth_counter_and_buffer_child_cost)
    43200    0.011    0.000    0.011    0.000 /mnt/data/wirtschaft/agents/household_agent.py:303(_repay_savings_loans)
    43440    0.010    0.000    0.010    0.000 /mnt/data/wirtschaft/agents/household_agent.py:158(sight_balance)
    43200    0.006    0.000    0.006    0.000 {method 'append' of 'collections.deque' objects}
    43920    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
    43200    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     1440    0.003    0.000    0.004    0.000 /mnt/data/wirtschaft/agents/household_agent.py:244(save)
      120    0.000    0.000    0.003    0.000 /mnt/data/wirtschaft/agents/household_agent.py:863(_apply_household_formation_event)
      120    0.001    0.000    0.003    0.000 /mnt/data/wirtschaft/agents/household_agent.py:569(split_household)
      600    0.001    0.000    0.002    0.000 /mnt/data/wirtschaft/agents/savings_bank_agent.py:156(withdraw_savings)
      120    0.001    0.000    0.001    0.000 /mnt/data/wirtschaft/agents/household_agent.py:68(__init__)
     2640    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      120    0.000    0.000    0.001    0.000 /mnt/data/wirtschaft/agents/base_agent.py:14(__init__)



